part_place,part_name,house_type,house_big,floor,house_direct,house_sale_money,house_price,house_age,house_sale_time
福田 新洲,蜜园,1室1厅,47,中楼层,东,250,53191,2007,2016.05
南山 南头,中山颐景花园,5室2厅,191,高楼层,南 北,930,48691,2001,2016.05
宝安 西乡,鸿隆广场,3室2厅,48,中楼层,西南,333,69375,2005,2016.05
罗湖 东门,华隆园,1室1厅,42,中楼层,南,204,48571,未知,2016.05
宝安 新安,新安湖花园,2室1厅,74,高楼层,东南,345,46621,1993,2016.05
龙岗 布吉,龙珠花园(布吉),2室1厅,57,未知楼层,东,189.5,33245,1999,2016.05
宝安 新安,黄金大厦,3室2厅,78,中楼层,东南,369,47307,2012,2016.05
福田 华强北,君悦阁,1室1厅,49,中楼层,东北,330,67346,2005,2016.05
罗湖 布心,布心花园二区,2室2厅,84,中楼层,南,310,36904,1987,2016.05
龙岗 龙岗中心,新亚洲花园,3室2厅,119,中楼层,南,378,31764,2001,2016.05
龙岗 布吉,丽湖花园二期,2室1厅,54,中楼层,西北,163,30185,1997,2016.05
宝安 新安,新安湖花园,2室2厅,68,高楼层,东南,278,40882,1993,2016.05
南山 西丽,香榭峰景苑,2室2厅,68,低楼层,北,382,56176,1999,2016.05
南山 白石洲,侨城馨苑,2室1厅,62,中楼层,南,335,54032,2011,2016.05
龙岗 布吉,英郡年华,3室1厅,88,中楼层,南,343.09,38987,2006,2016.05
南山 南头,方鼎华庭,3室1厅,54,中楼层,南 西 北,384,71111,2008,2016.05
南山 蛇口,栖游记,1室0厅,31,低楼层,南,195,62903,2013,2016.05
宝安 西乡,中粮幸福花园,2室1厅,40,中楼层,东南,228.8,57200,2008,2016.05
宝安 西乡,碧海名园,3室2厅,65,高楼层,西南,330,50769,2004,2016.05
福田 华强北,玮鹏花园,3室2厅,105,低楼层,东北,732.5,69761,2001,2016.05
福田 皇岗,皇御苑一期,2室2厅,78,低楼层,东南,408,52307,1999,2016.05
罗湖 百仕达,百仕达东郡,4室2厅,172,中楼层,东南,1268,73720,2005,2016.05
福田 石厦,益田村,3室1厅,92,低楼层,北,477.5,51902,2002,2016.05
龙岗 布吉,阳光花园,2室2厅,66,低楼层,北,236,35757,2003,2016.05
南山 华侨城,东方花园桂花苑,2室2厅,105,低楼层,南,590,56190,1994,2016.05
福田 石厦,缔馨园,1室1厅,49,中楼层,南,340,69387,1997,2016.05
罗湖 莲塘,雍翠豪园,2室2厅,74,低楼层,东 西,335,45270,2001,2016.05
龙岗 布吉,汇福花园,3室1厅,74,高楼层,东南,225,30405,1999,2016.05
龙岗 布吉,万科红一期,2室1厅,61,高楼层,西南,306,50163,2011,2016.05
龙岗 坂田,佳兆业上品雅园,2室2厅,76,高楼层,南,323.25,42532,2010,2016.05
南山 前海,星海名城五期,2室1厅,50,高楼层,东南,374.3,74860,2006,2016.05
福田 华强南,京基御景华城,2室1厅,62,高楼层,东北,338,54516,2005,2016.05
盐田 沙头角,东部翠海轩,2室2厅,62,低楼层,东,230,37096,2007,2016.05
宝安 西乡,万象新天,2室1厅,62,高楼层,东 南,313,50483,2012,2016.05
罗湖 百仕达,旭飞华达园,2室1厅,41,中楼层,南,210,51219,2001,2016.05
福田 新洲,嘉葆润金座,2室1厅,40,中楼层,南,300,75000,2013,2016.05
龙华新区 龙华中心,东华明珠园,3室2厅,110,高楼层,南,475,43181,2007,2016.05
盐田 盐田港,海川阁,1室2厅,48,中楼层,东南,159.5,33229,2011,2016.05
龙岗 布吉,国展苑,2室1厅,50,低楼层,南,168.6,33720,2002,2016.05
南山 前海,诺德假日花园,3室2厅,86,未知楼层,南,740,86046,2009,2016.05
福田 上下沙,京基滨河时代,1室0厅,33,高楼层,南,250,75757,2014,2016.05
南山 科技园,科技园五十八区,2室2厅,83,高楼层,南 北,546,65783,未知,2016.05
宝安 宝安中心,西城上筑花园,3室2厅,74,高楼层,东 北,555,75000,2005,2016.05
福田 上下沙,花好园,2室1厅,57,高楼层,南,388.5,68157,2005,2016.05
龙岗 龙岗中心,中海塞纳时光,2室2厅,76,高楼层,东南,282.5,37171,2012,2016.05
龙华新区 深圳北站,世纪春城二期,2室2厅,79,中楼层,南 北,343.5,43481,2005,2016.05
福田 福田中心,彩福大厦,1室1厅,49,中楼层,东,220.5,45000,2001,2016.05
宝安 西乡,中粮幸福花园,2室1厅,40,高楼层,东,235,58750,2008,2016.05
南山 西丽,俊峰丽舍,3室2厅,107,中楼层,东 西,600,56074,2004,2016.05
龙华新区 龙华中心,龙泽榕园,1室1厅,46,中楼层,西南,175,38043,2008,2016.05
龙岗 龙岗中心,愉园新村,3室1厅,82,高楼层,东,225,27439,1996,2016.05
宝安 西乡,碧海富通城三期,4室2厅,102,高楼层,南,576.6,56529,2007,2016.05
龙华新区 深圳北站,莱蒙水榭春天1到3期,4室2厅,146,中楼层,南 北,816,55890,2010,2016.05
龙岗 坂田,佳兆业城市广场一期,3室2厅,89,低楼层,南,406,45617,2015,2016.05
龙岗 龙岗中心,君悦龙庭,3室2厅,124,中楼层,南,420,33870,2009,2016.05
罗湖 万象城,城市天地广场,1室1厅,43,高楼层,北,188,43720,2005,2016.05
南山 后海,深蓝季节,2室1厅,61,高楼层,东南,410,67213,未知,2016.05
龙岗 龙岗中心,绿景大公馆,2室1厅,57,高楼层,东南,330,57894,2010,2016.05
南山 后海,金海岸大厦,1室1厅,36,中楼层,西,225.5,62638,2000,2016.05
龙岗 布吉,宝龙花园,2室1厅,85,高楼层,南,182,21411,2009,2016.05
龙岗 坂田,万科四季花城,5室2厅,165,低楼层,东 西,956,57939,2002,2016.05
宝安 西乡,碧海名园,2室1厅,60,低楼层,东北,262.47,43745,2004,2016.05
福田 华强南,京基御景华城,2室1厅,62,中楼层,东南,352,56774,2005,2016.05
福田 新洲,朗晴馨洲,3室1厅,86,中楼层,南 西南,458,53255,2003,2016.05
南山 深圳湾,太古城北,5室2厅,173,低楼层,南,1730,100000,2010,2016.05
福田 莲花,城投青莲公寓,2室1厅,44,高楼层,南,288,65454,2005,2016.05
南山 蛇口,花果山小区,2室1厅,58,低楼层,南,364,62758,1996,2016.05
罗湖 春风路,银座金钻,1室1厅,41,中楼层,北,168,40975,1992,2016.05
福田 皇岗,皇御苑一期,1室0厅,30,高楼层,西北,150,50000,1999,2016.05
罗湖 清水河,旭飞华天苑,1室0厅,16,低楼层,南,64,40000,1998,2016.05
龙岗 布吉,南威中心,3室2厅,78,低楼层,东南,232,29743,1997,2016.05
盐田 沙头角,碧桐海苑,2室1厅,66,低楼层,北,273.5,41439,2005,2016.05
龙岗 坂田,中海月朗苑,3室2厅,71,中楼层,北,350,49295,2006,2016.05
罗湖 布心,雍翠华府,2室1厅,44,中楼层,北,237,53863,2004,2016.05
龙岗 布吉,龙珠花园(布吉),2室1厅,60,中楼层,北,205,34166,1999,2016.05
福田 华强北,中泰燕南名庭,1室1厅,47,中楼层,北,385,81914,未知,2016.05
龙岗 南联,阳光广场,1室0厅,25,中楼层,西南,68,27200,2004,2016.05
龙岗 布吉,华浩源A区,3室2厅,98,中楼层,南,300,30612,2004,2016.05
龙岗 南联,雅豪祥苑,2室2厅,69,中楼层,南,195,28260,2003,2016.05
龙岗 龙岗中心,长江花园,4室2厅,93,中楼层,北,220,23655,2000,2016.05
福田 梅林,碧云天,3室2厅,104,低楼层,北,483.6,46500,1999,2016.05
盐田 沙头角,东部翠海轩,2室1厅,60,低楼层,东南,236,39333,2007,2016.05
福田 上下沙,花好园,2室1厅,50,低楼层,北,276,55200,2005,2016.05
南山 蛇口,龙瑞佳园,2室2厅,70,高楼层,西南,370,52857,2015,2016.05
罗湖 春风路,南洋大厦,2室1厅,58,低楼层,南,206,35517,未知,2016.05
福田 梅林,汇龙花园,2室2厅,76,中楼层,南,415,54605,2009,2016.05
罗湖 东门,京基东方华都,1室1厅,39,中楼层,北,230,58974,2005,2016.05
龙岗 龙岗中心,禾田世居,2室2厅,66,低楼层,南,252.4,38242,2000,2016.05
龙岗 龙岗中心,招商依山郡,1室2厅,57,中楼层,东,185,32456,未知,2016.05
宝安 新安,华盛盛荟,2室2厅,70,低楼层,西南,320,45714,2013,2016.05
龙岗 布吉,桂芳园八期,2室1厅,73,中楼层,东北,293.68,40230,2006,2016.05
福田 莲花,长城盛世家园二期,3室2厅,85,高楼层,西南,560,65882,2004,2016.05
龙岗 布吉,盈翠家园,2室1厅,59,低楼层,西北,193.5,32796,2001,2016.05
龙岗 布吉,龙珠花园(布吉),2室1厅,60,中楼层,北,205.3,34216,1999,2016.05
宝安 新安,湖景居,3室2厅,101,低楼层,东,481,47623,2007,2016.05
宝安 西乡,碧海富通城三期,3室1厅,42,低楼层,东北,245,58333,2007,2016.05
龙岗 布吉,德福花园,3室2厅,73,未知楼层,东南,202,27671,1998,2016.05
宝安 西乡,槟城西岸,3室2厅,55,低楼层,西南,380,69090,2008,2016.05
宝安 新安,岭下花园,2室2厅,77,中楼层,南,240,31168,未知,2016.05
龙岗 坂田,佳兆业城市广场一期,3室2厅,89,中楼层,东北,420,47191,2015,2016.05
南山 后海,钜建大厦,2室1厅,73,低楼层,南,335,45890,1994,2016.05
龙岗 横岗,信义锦绣花园,2室1厅,48,中楼层,东,183,38125,2008,2016.05
福田 景田,安栢丽晶,4室2厅,196,高楼层,南,1085,55357,2003,2016.05
龙岗 布吉,百合山庄,2室2厅,76,中楼层,南,290,38157,2000,2016.05
南山 蛇口,龙瑞佳园,2室2厅,75,中楼层,南,367,48933,2015,2016.05
宝安 宝安中心,泰华俊庭,1室1厅,44,中楼层,东北,208,47272,2005,2016.05
盐田 盐田港,海滨假日,2室1厅,33,中楼层,东北,190,57575,2007,2016.05
龙岗 布吉,中房怡芬花园,2室1厅,60,中楼层,南,207,34500,1996,2016.05
福田 华强南,京基御景华城,2室1厅,62,高楼层,东,339,54677,2005,2016.05
宝安 宝安中心,泰华锦绣城,3室2厅,94,低楼层,西北,370,39361,1999,2016.05
福田 石厦,星座大厦,1室1厅,34,中楼层,西南,269,79117,2005,2016.05
龙岗 龙岗中心,新亚洲花园,5室2厅,139,低楼层,东,395,28417,2001,2016.05
龙华新区 龙华中心,美丽AAA花园,3室2厅,95,中楼层,南,466,49052,2003,2016.05
龙岗 布吉,花语岸,3室1厅,75,高楼层,南,296.45,39526,2009,2016.05
龙岗 布吉,英郡年华,3室1厅,97,高楼层,西南,415,42783,2008,2016.05
福田 新洲,骏皇嘉园,2室2厅,66,高楼层,东南,382,57878,2005,2016.05
龙岗 横岗,麟恒中心广场一期,2室2厅,43,高楼层,西南,185,43023,2014,2016.05
龙华新区 龙华中心,锦绣御园,3室2厅,117,中楼层,西北,526,44957,2014,2016.05
盐田 沙头角,园林综合小区,3室1厅,71,中楼层,南,237,33380,未知,2016.05
福田 莲花,长城盛世家园二期,3室2厅,100,低楼层,东南,630,63000,2004,2016.05
宝安 新安,新安湖花园,2室1厅,69,中楼层,东南,300,43478,1993,2016.05
龙岗 布吉,德福花园,2室2厅,57,未知楼层,东南,176,30877,1998,2016.05
罗湖 布心,太阳新城,5室2厅,80,高楼层,南,525,65625,2002,2016.05
龙岗 坂田,中海月朗苑,4室2厅,92,低楼层,东南,402,43695,2006,2016.05
龙岗 布吉,中翠花园,2室1厅,65,高楼层,东南,250,38461,2004,2016.05
龙岗 布吉,荣超花园,2室2厅,71,高楼层,东北,215,30281,2000,2016.05
龙岗 布吉,国展苑,1室1厅,55,中楼层,西南,164.2,29854,2002,2016.05
龙岗 布吉,万科红三期,2室1厅,68,中楼层,南,249,36617,未知,2016.05
龙岗 布吉,万科公园里二期,3室1厅,88,中楼层,东南,370,42045,2014,2016.05
南山 蛇口,维园大厦,3室2厅,122,低楼层,西北,543,44508,未知,2016.05
宝安 宝安中心,花样年花乡,2室1厅,59,低楼层,东南,368,62372,2011,2016.05
龙岗 布吉,桂芳园五期,3室2厅,79,中楼层,东南,328,41518,2003,2016.05
南山 西丽,郁金香家园,2室2厅,66,未知楼层,南,350,53030,2005,2016.05
福田 石厦,时尚名居,1室0厅,32,中楼层,东北,208,65000,2002,2016.05
宝安 新安,香缤广场,2室2厅,72,高楼层,南,379.8,52750,2006,2016.05
福田 皇岗,皇庭世纪,1室1厅,46,中楼层,南,308,66956,2004,2016.05
福田 新洲,韵动家园,2室2厅,88,中楼层,东南,480,54545,2005,2016.05
福田 莲花,茂恒园,4室2厅,125,低楼层,南 北,736,58880,1999,2016.05
龙华新区 清湖,香缇雅苑,3室2厅,86,高楼层,北,268,31162,2006,2016.05
龙岗 横岗,信义御城豪园,2室2厅,68,低楼层,南,278,40882,2013,2016.05
罗湖 布心,心怡花园,3室1厅,100,中楼层,南 北,500,50000,2002,2016.05
罗湖 罗湖口岸,罗湖金岸大厦,2室1厅,67,中楼层,北,195,29104,2003,2016.05
龙岗 龙岗中心,君悦龙庭,4室2厅,108,中楼层,东南 西北,490,45370,2009,2016.05
龙岗 布吉,名城国际广场,2室1厅,45,高楼层,西北,132,29333,1998,2016.05
宝安 西乡,青春庭园,1室0厅,29,低楼层,东北,139.3,48034,2004,2016.05
宝安 西乡,中粮锦云,3室2厅,85,高楼层,东南,468,55058,2012,2016.05
龙华新区 深圳北站,书香门第上河坊,1室1厅,43,高楼层,西北,209,48604,2010,2016.05
南山 蛇口,花园城五期,2室1厅,68,低楼层,西南,538,79117,2010,2016.05
罗湖 春风路,天俊大厦,5室0厅,143,低楼层,南,270,18881,2003,2016.05
宝安 新安,白金酒店公寓,2室1厅,37,低楼层,西南,210,56756,2005,2016.05
南山 西丽,塘朗雅苑,1室0厅,29,高楼层,南,177.5,61206,2009,2016.05
福田 上下沙,万科金域蓝湾,3室2厅,150,中楼层,南,1080,72000,2003,2016.05
宝安 西乡,碧海富通城三期,2室1厅,57,低楼层,东,290,50877,2007,2016.05
宝安 新安,中洲华府,2室2厅,75,中楼层,南,480,64000,2015,2016.05
宝安 新安,中洲华府,3室2厅,49,中楼层,南,320,65306,2015,2016.05
龙岗 龙岗中心,中央悦城,2室1厅,40,低楼层,东,135,33750,2010,2016.05
福田 皇岗,皇御苑二期,2室2厅,64,中楼层,西北,350,54687,2003,2016.05
龙华新区 深圳北站,中航天逸,4室2厅,149,高楼层,南,338,22684,2013,2016.05
盐田 沙头角,%测试,5室2厅,149,高楼层,南,460,30872,未知,2016.05
宝安 西乡,泰华阳光海小区,4室2厅,99,低楼层,南,658,66464,2008,2016.05
南山 后海,蔚蓝海岸3期,4室2厅,109,低楼层,南,948,86972,2003,2016.05
宝安 宝安中心,西城上筑花园,3室2厅,94,低楼层,东,600,63829,2005,2016.05
宝安 宝安中心,海云轩,3室2厅,108,中楼层,东南,520,48148,2004,2016.05
宝安 宝安中心,卡罗社区,2室2厅,71,低楼层,南 北,411,57887,2007,2016.05
龙岗 布吉,德福花园,3室2厅,73,未知楼层,西南,195,26712,1998,2016.05
福田 新洲,嘉洲富苑,1室1厅,36,低楼层,西,220,61111,2012,2016.05
福田 香蜜湖,深南中学家属楼,3室2厅,92,高楼层,南,580,63043,1994,2016.05
南山 前海,恒立心海湾花园,3室2厅,88,低楼层,南,650,73863,2009,2016.05
罗湖 春风路,联城美园,2室1厅,56,低楼层,东,287,51250,2006,2016.05
福田 皇岗,皇庭世纪,2室1厅,58,中楼层,西南,349.5,60258,2004,2016.05
龙岗 龙岗中心,振业峦山谷,3室2厅,89,中楼层,南,280,31460,2009,2016.05
福田 上下沙,花好园,1室1厅,42,中楼层,东南,258,61428,2005,2016.05
福田 新洲,绿景中城天邑花园,2室1厅,68,中楼层,东南,460,67647,2008,2016.05
罗湖 新秀,文锦渡海关三院,3室1厅,83,高楼层,南,292,35180,未知,2016.05
福田 景田,东景花园,3室2厅,108,高楼层,东南,539,49907,1996,2016.05
龙华新区 龙华中心,苹果园,1室0厅,32,中楼层,南,125,39062,2004,2016.05
罗湖 黄贝岭,海富花园,3室1厅,86,高楼层,南,330,38372,1992,2016.05
福田 车公庙,泰然小区,1室0厅,34,低楼层,南,162,47647,1993,2016.05
福田 梅林,凯丰花园综合楼,1室0厅,35,中楼层,西,129,36857,1999,2016.05
龙岗 布吉,丽湖花园二期,2室1厅,54,中楼层,西南,164.5,30462,1997,2016.05
罗湖 罗湖口岸,庐山花园,1室1厅,49,高楼层,南,205,41836,1997,2016.05
宝安 新安,佳华书苑雅阁,2室1厅,42,高楼层,南,326,77619,2008,2016.05
南山 蛇口,花园城五期,2室1厅,68,高楼层,北,525,77205,2010,2016.05
龙华新区 深圳北站,世纪春城一期,4室2厅,126,中楼层,东南,572,45396,未知,2016.05
南山 蛇口,龙瑞佳园,2室1厅,72,低楼层,东 北,350,48611,2015,2016.05
宝安 宝安中心,花样年花乡,1室0厅,30,低楼层,东北,162.6,54200,2011,2016.05
福田 百花,长城二花园,4室2厅,120,中楼层,南,970,80833,1992,2016.05
龙岗 龙岗中心,保利上城,4室2厅,88,高楼层,南,415,47159,2015,2016.05
龙岗 布吉,丽湖花园二期,2室1厅,59,中楼层,西南,180,30508,1997,2016.05
南山 前海,绿海名都,3室2厅,106,低楼层,南,692.5,65330,2004,2016.05
龙华新区 龙华中心,大信花园,3室2厅,81,中楼层,南,315,38888,2005,2016.05
龙岗 布吉,桂芳园六期,3室2厅,70,高楼层,东北,435,62142,2005,2016.05
宝安 西乡,兴达华府,1室0厅,22,中楼层,西北,99,45000,2009,2016.05
福田 华强北,城市绿洲花园,4室2厅,182,中楼层,东北,1000,54945,2002,2016.05
福田 华强北,金茂礼都,1室0厅,34,低楼层,南,385,113235,2004,2016.05
盐田 沙头角,海山道1号,2室1厅,88,中楼层,东南,390,44318,2011,2016.05
福田 新洲,绿景花园,2室1厅,70,高楼层,北,410,58571,2005,2016.05
龙岗 龙岗中心,和兴苑,2室2厅,72,低楼层,南 北,255,35416,2002,2016.05
龙岗 坂田,珠江旭景佳园,1室1厅,41,低楼层,东南,166.6,40634,2007,2016.05
龙岗 龙岗中心,万科翰邻城,5室2厅,162,低楼层,南 北,290,17901,2011,2016.05
龙岗 龙岗中心,万科翰邻城,5室2厅,162,低楼层,南 北,333,20555,2011,2016.05
龙岗 布吉,阳光翠园,2室2厅,60,低楼层,南,198,33000,2001,2016.05
福田 新洲,嘉葆润金座,1室1厅,27,中楼层,南,200,74074,2013,2016.05
福田 梅林,阳光天下花园,3室2厅,97,低楼层,东,500,51546,2010,2016.05
福田 华强南,南光捷佳大厦,1室0厅,45,高楼层,东南,162,36000,2002,2016.05
龙岗 布吉,中海怡翠山庄,2室1厅,71,低楼层,东南,280,39436,2001,2016.05
宝安 西乡,碧海富通城三期,3室2厅,58,低楼层,东北,385,66379,2007,2016.05
龙岗 龙岗中心,水蓝湾,3室2厅,89,低楼层,南,330,37078,2008,2016.05
南山 华侨城,一辉花园,4室2厅,162,高楼层,南,1070,66049,2002,2016.05
福田 百花,长安花园,3室2厅,103,低楼层,北,718,69708,1993,2016.05
龙华新区 龙华中心,中环花园,4室2厅,116,高楼层,东南,380,32758,2000,2016.05
宝安 新安,白金时代,2室2厅,43,低楼层,西北,215,50000,1993,2016.05
龙岗 布吉,桂芳园六期,3室1厅,90,高楼层,东北,368.5,40944,2005,2016.05
宝安 西乡,中信领航,4室2厅,89,高楼层,东北,468,52584,2012,2016.05
宝安 西乡,兴达华府,2室1厅,42,高楼层,东北,191,45476,2009,2016.05
宝安 新安,香缤广场,2室1厅,61,高楼层,东南 东北,338.5,55491,2006,2016.05
宝安 新安,黄金大厦,2室2厅,64,高楼层,西北,310,48437,2012,2016.05
龙岗 布吉,佳兆业大都汇,2室1厅,63,中楼层,东南,213,33809,2012,2016.05
龙岗 布吉,国展苑,2室1厅,53,高楼层,西南 西,159,30000,2002,2016.05
福田 八卦岭,岭尚时代园,1室1厅,37,高楼层,北,216,58378,2007,2016.05
福田 上下沙,花好园,1室1厅,39,高楼层,北,244,62564,2005,2016.05
宝安 新安,弘雅花园雅兰亭第四期,2室2厅,71,中楼层,南,350,49295,2001,2016.05
龙岗 布吉,南岭花园,2室1厅,64,低楼层,北,182,28437,1994,2016.05
龙岗 龙岗中心,水蓝湾,1室1厅,40,高楼层,南,122,30500,2008,2016.05
龙岗 布吉,大世纪水山缘,3室2厅,92,中楼层,南,360,39130,2006,2016.05
罗湖 莲塘,依仙湖居,1室1厅,33,中楼层,南,135,40909,2000,2016.05
罗湖 莲塘,富达花园,1室1厅,46,高楼层,南,213.5,46413,2009,2016.05
福田 皇岗,皇庭世纪,1室1厅,41,低楼层,南,270,65853,2004,2016.05
罗湖 布心,碧岭华庭,2室1厅,66,中楼层,北,306,46363,2002,2016.05
罗湖 罗湖口岸,庐山花园,3室1厅,91,高楼层,南 西南,315,34615,1997,2016.05
宝安 西乡,鸿隆广场,2室1厅,48,中楼层,东北,240,50000,2005,2016.05
福田 华强南,京基御景华城,1室1厅,39,低楼层,东北,198,50769,2005,2016.05
福田 梅林,梅林一村五区,3室2厅,98,中楼层,南,594,60612,1999,2016.05
福田 景田,景龙大厦,3室1厅,90,低楼层,西南,515,57222,1998,2016.05
龙华新区 深圳北站,莱蒙水榭春天1到3期,2室2厅,67,中楼层,西南,419,62537,2011,2016.05
龙岗 布吉,万科公园里二期,3室1厅,89,高楼层,南,360,40449,2014,2016.05
宝安 宝安中心,西城上筑花园,2室2厅,75,高楼层,东北,468,62400,2005,2016.05
龙华新区 清湖,新阳丽舍,1室1厅,39,中楼层,西,139,35641,2004,2016.05
福田 莲花,城投青莲公寓,1室1厅,35,高楼层,北,190,54285,2005,2016.05
罗湖 百仕达,百仕达东郡,2室2厅,83,低楼层,东南,520,62650,2005,2016.05
龙岗 布吉,怡康家园,2室1厅,38,低楼层,东南,166,43684,2005,2016.05
龙岗 布吉,龙园意境,2室2厅,81,高楼层,南,328,40493,2008,2016.05
南山 科技园,深南花园,4室2厅,132,中楼层,南,516,39090,1996,2016.05
宝安 西乡,碧海富通城三期,3室2厅,66,中楼层,东北,395,59848,2007,2016.05
宝安 宝安中心,富通好旺角,2室1厅,45,高楼层,西北,313.8,69733,2004,2016.05
福田 梅林,梅林一村十二区,3室2厅,90,中楼层,南,543,60333,2000,2016.05
南山 后海,新一代国际公寓,1室1厅,37,中楼层,北,230,62162,2004,2016.05
宝安 宝安中心,花样年花乡,1室1厅,38,低楼层,西北,235,61842,2011,2016.05
南山 红树湾,中信红树湾南区,4室2厅,204,高楼层,西南,2106,103235,2005,2016.05
宝安 西乡,兴达华府,2室1厅,43,低楼层,东南,183,42558,2009,2016.05
龙岗 布吉,德福花园,1室1厅,45,中楼层,东,143,31777,1998,2016.05
罗湖 布心,阳光明居,2室2厅,75,中楼层,南,407,54266,1999,2016.05
南山 后海,钜建大厦,3室1厅,88,低楼层,北,333,37840,1994,2016.05
龙岗 坂田,金洲嘉丽园,2室2厅,68,高楼层,南,272,40000,2002,2016.05
龙岗 布吉,龙园意境,3室2厅,89,中楼层,南 北,410,46067,2008,2016.05
罗湖 东门,东门168,1室0厅,23,高楼层,西南,140,60869,2004,2016.05
龙华新区 深圳北站,锦绣江南四期,4室2厅,113,中楼层,南,470,41592,2005,2016.05
南山 南头,艺华花园,1室1厅,42,中楼层,北,185,44047,未知,2016.05
龙岗 龙岗中心,爱地花园二期,4室2厅,117,中楼层,南 北,357,30512,未知,2016.05
龙华新区 深圳北站,莱蒙水榭春天1到3期,4室2厅,120,高楼层,南,725,60416,2010,2016.05
宝安 新安,弘雅花园雅豪轩三期,2室2厅,78,中楼层,西南,330,42307,2001,2016.05
宝安 新安,海滨花园(宝安区),2室2厅,66,高楼层,南,238,36060,2001,2016.05
龙岗 布吉,丽湖花园一期,1室1厅,43,中楼层,南,126.6,29441,1997,2016.05
福田 梅林,汇龙花园,1室1厅,42,中楼层,南,232,55238,2009,2016.05
宝安 新安,弘雅花园雅豪轩三期,3室2厅,121,中楼层,北,458,37851,2001,2016.05
龙华新区 深圳北站,莱蒙水榭春天1到3期,2室2厅,66,低楼层,南,411,62272,2010,2016.05
龙岗 布吉,桂芳园三期,2室2厅,67,中楼层,西北,254,37910,2003,2016.05
盐田 沙头角,碧桐海苑,1室1厅,41,低楼层,东南,168,40975,2005,2016.05
宝安 新安,中洲华府,3室2厅,87,中楼层,南 西南,598,68735,2015,2016.05
南山 蛇口,米兰第2季,1室1厅,41,中楼层,东南,239,58292,2006,2016.05
福田 景田,赛格景苑,2室1厅,68,高楼层,北,373,54852,1998,2016.05
龙岗 布吉,国展苑,1室1厅,48,中楼层,东南,146.5,30520,2002,2016.05
福田 皇岗,皇溪苑,1室1厅,60,高楼层,西,262,43666,1996,2016.05
龙华新区 清湖,龙华花半里花园,3室2厅,78,中楼层,东南,320,41025,2012,2016.05
罗湖 黄贝岭,新天地名居,1室1厅,39,低楼层,西北,182.6,46820,2005,2016.05
罗湖 黄贝岭,新天地名居,3室2厅,87,中楼层,东,580,66666,2004,2016.05
盐田 沙头角,华逸园,1室1厅,34,高楼层,东,140,41176,2003,2016.05
罗湖 莲塘,聚福花园,2室2厅,73,高楼层,南,353.8,48465,2002,2016.05
福田 梅林,凯丰花园综合楼,1室0厅,27,中楼层,东,96,35555,1999,2016.05
龙华新区 民治,潜龙鑫茂花园B区,1室1厅,37,中楼层,南,176,47567,2006,2016.05
南山 南山中心,海典居,2室1厅,74,高楼层,北,345,46621,1999,2016.05
龙岗 龙岗中心,水蓝湾,4室2厅,128,高楼层,南,268,20937,2008,2016.05
宝安 新安,都市翠海华苑,2室2厅,53,高楼层,南,338,63773,2004,2016.05
宝安 西乡,碧海富通城五期,1室1厅,46,低楼层,西南,248,53913,2009,2016.05
龙岗 布吉,国展苑,2室1厅,52,高楼层,北 东北,165.5,31826,2002,2016.05
龙华新区 龙华中心,桦润馨居,2室2厅,78,中楼层,南,284,36410,2002,2016.05
龙华新区 民治,潜龙鑫茂花园A区,2室2厅,68,中楼层,北,315,46323,未知,2016.05
龙岗 龙岗中心,国香尚居,4室2厅,86,中楼层,东南,267,31046,2014,2016.05
福田 梅林,凯丰花园综合楼,1室0厅,31,中楼层,南,111.5,35967,1999,2016.05
龙岗 布吉,英郡年华,3室2厅,84,中楼层,西南,365,43452,2008,2016.05
龙岗 龙岗中心,香林玫瑰花园,3室2厅,109,低楼层,南,358,32844,2003,2016.05
福田 华强南,京基御景华城,1室0厅,28,低楼层,东,136.6,48785,2005,2016.05
罗湖 东门,嘉年华名苑,2室1厅,67,高楼层,南,353.8,52805,未知,2016.05
宝安 西乡,鸿隆广场,2室1厅,48,中楼层,东南,240,50000,2005,2016.05
盐田 盐田港,花样年花港家园,1室1厅,43,低楼层,西南,160,37209,2007,2016.05
南山 南头,中山颐景花园,1室1厅,43,中楼层,东,222,51627,2001,2016.05
南山 红树湾,中信红树湾南区,4室2厅,203,低楼层,东南,1628,80197,2005,2016.05
宝安 新安,都市翠海华苑,1室0厅,22,高楼层,南,161,73181,2004,2016.05
罗湖 东门,缤纷时代家园,2室1厅,61,高楼层,东北,325,53278,2003,2016.05
龙岗 布吉,桂芳园六期,3室1厅,97,高楼层,东北,405,41752,2005,2016.05
福田 梅林,阳光天下花园,5室2厅,178,低楼层,东,530,29775,2010,2016.05
宝安 宝安中心,花样年花郡(宝安),1室1厅,34,高楼层,东北,233.8,68764,未知,2016.05
龙岗 龙岗中心,中海康城国际,3室2厅,76,中楼层,西北,285.8,37605,2010,2016.05
龙岗 布吉,桂芳园六期,2室2厅,72,中楼层,西南,292,40555,2005,2016.05
龙岗 横岗,信义锦绣花园,2室2厅,73,高楼层,南,250.8,34356,2009,2016.05
龙岗 龙岗中心,中海塞纳时光,2室2厅,74,高楼层,西南,281,37972,2012,2016.05
龙岗 南联,深房传麒尚林,3室2厅,88,高楼层,南,268,30454,2013,2016.05
龙岗 布吉,万科红一期,2室2厅,61,中楼层,东南,310,50819,2011,2016.05
